"ID","NAME","DESCRIPTION"
"ARS","Argentine Peso","Argentine Peso"
"AUD","Australian Dollar","Australian Dollar"
"BGN","Bulgarian Lev","Bulgarian Lev"
"BRL","Brazilian Real","Brazilian Real"
"CAD","Canadian Dollar","Canadian Dollar"
"CHF","Swiss Franc","Swiss Franc"
"CLP","Chilean Peso","Chilean Peso"
"CNY","Yuan Renminbi","Yuan Renminbi"
"COP","Colombian Peso","Colombian Peso"
"CZK","Czech Koruna","Czech Koruna"
"DKK","Danish Krone","Danish Krone"
"EGP","Egyptian Pound","Egyptian Pound"
"EUR","Euro","Euro"
"GBP","Pound Sterling","Pound Sterling"
"HKD","Hong Kong Dollar","Hong Kong Dollar"
"HRK","Croatian Kuna","Croatian Kuna"
"HUF","Hungarian Forint","Hungarian Forint"
"IDR","Rupiah","Rupiah"
"ILS","New Israeli Sheqel","New Israeli Sheqel"
"INR","Indian Rupee","Indian Rupee"
"JPY","Japanese Yen","Japanese Yen"
"KRW","South Korean Won","South Korean Won"
"KZT","Tenge","Tenge"
"MXN","Mexican Peso","Mexican Peso"
"NOK","Norwegian Krone","Norwegian Krone"
"PEN","Nuevo Sol","Nuevo Sol"
"PGK","Kina","Kina"
"PHP","Philippine Peso","Philippine Peso"
"PLN","Polish Zloty","Polish Zloty"
"RON","New Leu","New Leu"
"RSD","Serbian Dinar","Serbian Dinar"
"RUB","Russian Ruble","Russian Ruble"
"SEK","Swedish Krona","Swedish Krona"
"SGD","Singapore Dollar","Singapore Dollar"
"THB","Thai Baht","Thai Baht"
"TRY","New Turkish Lira","New Turkish Lira"
"TWD","New Taiwan Dollar","New Taiwan Dollar"
"UAH","Hryvnia","Hryvnia"
"USD","US Dollar","US Dollar"
"ZAR","South African Rand","South African Rand"
"GRD","GRD","Greek Drachma"
