"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"A","Annual","Annual"
"B","Daily - businessweek","Daily - businessweek"
"D","Daily","Daily"
"H","Hourly","Hourly"
"M","Monthly","Monthly"
"N","Minutely","Minutely"
"Q","Quarterly","Quarterly"
"S","Half-yearly, semester","Half-yearly, semester"
"W","Weekly","Weekly"
"A2","Biennial","Biennial"
"A3","Triennial","Triennial"
"A4","Quadrennial","Quadrennial"
"A5","Quinquennial","Quinquennial"
"A10","Decennial","Decennial"
"A20","Bidecennial","Bidecennial"
"A30","Tridecennial","Tridecennial"
"A_3","Three times a year","Three times a year"
"M2","Bimonthly","Bimonthly"
"M_2","Semimonthly","Semimonthly"
"M_3","Three times a month","Three times a month"
"W2","Biweekly","Biweekly"
"W3","Triweekly","Triweekly"
"W4","Four-weekly","Four-weekly"
"W_2","Semiweekly","Semiweekly"
"W_3","Three times a week","Three times a week"
"D_2","Twice a day","Twice a day"
"H2","Bihourly","Bihourly"
"H3","Trihourly","Trihourly"
"I","Irregular","Irregular"
"OA","Occasional annual","Occasional annual"
"OM","Occasional monthly","Occasional monthly"
"_O","Other","Other"
"_U","Unspecified","Unspecified"
"_Z","Not applicable","Not applicable"
