"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"RL1","Accrued interest payable on loans","Accrued interest payable on loans"
"RL2","Accrued interest payable on debt securities","Accrued interest payable on debt securities"
"RL3","Accrued rent payable","Accrued rent payable"
"RL4","Management fees payable","Management fees payable"
"RL5","Fees, fees-like, commissions, commission-like payable for carrying out transactions on holdings","Fees, fees-like, commissions, commission-like payable for carrying out transactions on holdings"
"RL6","Taxes payable","Taxes payable"
"RL7","Provisions representing liabilities against third parties, i.e. pensions, dividends, etc. other than RL1-RL6","Provisions representing liabilities against third parties, i.e. pensions, dividends, etc. other than RL1-RL6"
"RL8","Net positions arising from securities lending without cash colateral","Net positions arising from securities lending without cash colateral"
"RL9","Net amounts payable in respect of future settlements of transactions in securities","Net amounts payable in respect of future settlements of transactions in securities"
"RL10","Remaining liabilities other than RL1-RL9","Remaining liabilities other than RL1-RL9"
