"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"N1131","Transport equipment","Transport equipment"
"N1132","ICT equipment","ICT equipment"
"N1139","Other machinery and equipment","Other machinery and equipment"
"N114","Weapons Systems","Weapons Systems"
"N115","Cultivated biological resources","Cultivated biological resources"
"N1171","Research and development","Research and development"
"N1172","Mineral exploration and evaluation","Mineral exploration and evaluation"
"N1173","Computer software and databases","Computer software and databases"
"N1174","Entertainment, literacy or artistic originals","Entertainment, literacy or artistic originals"
"N1179","Other intellectual property products","Other intellectual property products"
"N131","Precious metals and stones","Precious metals and stones"
"N132","Antiques and other art objects","Antiques and other art objects"
"N133","Other valuables","Other valuables"
