"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"10","10","Dividend amount paid in cash per share"
"20","20","Dividend amount paid in kind per share"
"11","11","Distributing income - Direct provision"
"12","12","Distributing income - Fund entity derivation"
"13","13","Distributing income - Benchmark derivation"
"21","21","Cumulative income - Direct provision"
"22","22","Cumulative income - Fund entity derivation"
"23","23","Cumulative income - Benchmark derivation"
"31","31","Mixed income - Direct provision"
"32","32","Mixed income - Fund entity derivation"
"33","33","Mixed income - Benchmark derivation"
"91","91","No detailed information available - Direct provision"
"92","92","No detailed information available - Fund entity derivation"
"93","93","No detailed information available - Benchmark derivation"
