"ID","NAME","DESCRIPTION"
"S11.AE","Non financial corporations, United Arab Emirates (the)","Non financial corporations, United Arab Emirates (the)"
"S11.AF","Non financial corporations, Afghanistan","Non financial corporations, Afghanistan"
"S11.AL","Non financial corporations, Albania","Non financial corporations, Albania"
"S11.AO","Non financial corporations, Angola","Non financial corporations, Angola"
"S11.AR","Non financial corporations, Argentina","Non financial corporations, Argentina"
"S11.AT","Non financial corporations, Austria","Non financial corporations, Austria"
"S11.AU","Non financial corporations, Australia","Non financial corporations, Australia"
"S11.BE","Non financial corporations, Belgium","Non financial corporations, Belgium"
"S11.BG","Non financial corporations, Bulgaria","Non financial corporations, Bulgaria"
"S11.BH","Non financial corporations, Bahrain","Non financial corporations, Bahrain"
"S11.BJ","Non financial corporations, Benin","Non financial corporations, Benin"
"S11.BM","Non financial corporations, Bermuda","Non financial corporations, Bermuda"
"S11.BR","Non financial corporations, Brazil","Non financial corporations, Brazil"
"S11.BS","Non financial corporations, Bahamas (the)","Non financial corporations, Bahamas (the)"
"S11.BY","Non financial corporations, Belarus","Non financial corporations, Belarus"
"S11.BZ","Non financial corporations, Belize","Non financial corporations, Belize"
"S11.CA","Non financial corporations, Canada","Non financial corporations, Canada"
"S11.CG","Non financial corporations, Congo (the)","Non financial corporations, Congo (the)"
"S11.CH","Non financial corporations, Switzerland","Non financial corporations, Switzerland"
"S11.CL","Non financial corporations, Chile","Non financial corporations, Chile"
"S11.CM","Non financial corporations, Cameroon","Non financial corporations, Cameroon"
"S11.CN","Non financial corporations, China","Non financial corporations, China excluding Taiwan (TW), Hong Kong (HK), Macao (MO)"
"S11.CO","Non financial corporations, Colombia","Non financial corporations, Colombia"
"S11.CW","Non financial corporations, Curacao","Non financial corporations, Curacao"
"S11.CY","Non financial corporations, Cyprus","Non financial corporations, Cyprus"
"S11.CZ","Non financial corporations, Czechia","Non financial corporations, Czechia"
"S11.DE","Non financial corporations, Germany","Non financial corporations, Germany"
"S11.DK","Non financial corporations, Denmark","Non financial corporations, Denmark"
"S11.DO","Non financial corporations, Dominican Republic (the)","Non financial corporations, Dominican Republic (the)"
"S11.EG","Non financial corporations, Egypt","Non financial corporations, Egypt"
"S11.ER","Non financial corporations, Eritrea","Non financial corporations, Eritrea"
"S11.ES","Non financial corporations, Spain","Non financial corporations, Spain"
"S11.FI","Non financial corporations, Finland","Non financial corporations, Finland excluding Aland (AX)"
"S11.FO","Non financial corporations, Faroe Islands (the)","Non financial corporations, Faroe Islands (the)"
"S11.FR","Non financial corporations, France","Non financial corporations, France excluding Guadeloupe (GP), Guyane (GF), La Réunion (RE), Martinique (MQ), Mayotte (YT), Nouvelle-Calédonie (NC), Polynésie française (PF), Saint-Barthélemy (BL), Saint-Martin (MF), Saint-Pierre-et-Miquelon (PM), Terres australes françaises (TF), Wallis-et-Futuna (WF)"
"S11.GB","Non financial corporations, United Kingdom of Great Britain and Northern Ireland (the)","Non financial corporations, United Kingdom of Great Britain and Northern Ireland (the)"
"S11.GE","Non financial corporations, Georgia","Non financial corporations, Georgia"
"S11.GG","Non financial corporations, Guernsey","Non financial corporations, Guernsey"
"S11.GI","Non financial corporations, Gibraltar","Non financial corporations, Gibraltar"
"S11.GR","Non financial corporations, Greece","Non financial corporations, Greece"
"S11.HK","Non financial corporations, Hong Kong","Non financial corporations, Hong Kong"
"S11.HR","Non financial corporations, Croatia","Non financial corporations, Croatia"
"S11.HU","Non financial corporations, Hungary","Non financial corporations, Hungary"
"S11.ID","Non financial corporations, Indonesia","Non financial corporations, Indonesia"
"S11.IE","Non financial corporations, Ireland","Non financial corporations, Ireland"
"S11.IL","Non financial corporations, Israel","Non financial corporations, Israel"
"S11.IM","Non financial corporations, Isle of Man","Non financial corporations, Isle of Man"
"S11.IN","Non financial corporations, India","Non financial corporations, India"
"S11.IO","Non financial corporations, British Indian Ocean Territory (the)","Non financial corporations, British Indian Ocean Territory (the)"
"S11.IS","Non financial corporations, Iceland","Non financial corporations, Iceland"
"S11.IT","Non financial corporations, Italy","Non financial corporations, Italy"
"S11.JE","Non financial corporations, Jersey","Non financial corporations, Jersey"
"S11.JP","Non financial corporations, Japan","Non financial corporations, Japan"
"S11.KE","Non financial corporations, Kenya","Non financial corporations, Kenya"
"S11.KR","Non financial corporations, Korea (the Republic of)","Non financial corporations, Korea (the Republic of)"
"S11.KY","Non financial corporations, Cayman Islands (the)","Non financial corporations, Cayman Islands (the)"
"S11.KZ","Non financial corporations, Kazakhstan","Non financial corporations, Kazakhstan"
"S11.LB","Non financial corporations, Lebanon","Non financial corporations, Lebanon"
"S11.LR","Non financial corporations, Liberia","Non financial corporations, Liberia"
"S11.LU","Non financial corporations, Luxembourg","Non financial corporations, Luxembourg"
"S11.LV","Non financial corporations, Latvia","Non financial corporations, Latvia"
"S11.LY","Non financial corporations, Libya","Non financial corporations, Libya"
"S11.ME","Non financial corporations, Montenegro","Non financial corporations, Montenegro"
"S11.MH","Non financial corporations, Marshall Islands (the)","Non financial corporations, Marshall Islands (the)"
"S11.MK","Non financial corporations, Macedonia (the former Yugoslav Republic of)","Non financial corporations, Macedonia (the former Yugoslav Republic of)"
"S11.MN","Non financial corporations, Mongolia","Non financial corporations, Mongolia"
"S11.MU","Non financial corporations, Mauritius","Non financial corporations, Mauritius"
"S11.MW","Non financial corporations, Malawi","Non financial corporations, Malawi"
"S11.MX","Non financial corporations, Mexico","Non financial corporations, Mexico"
"S11.NG","Non financial corporations, Nigeria","Non financial corporations, Nigeria"
"S11.NL","Non financial corporations, Netherlands (the)","Non financial corporations, Netherlands excluding Aruba (AW), Bonaire, Saint Eustatius and Saba (BQ), Curacao (CW), Sint Maarten (SX)"
"S11.NO","Non financial corporations, Norway","Non financial corporations, Norway excluding Svalbard and Jan Mayen (SJ)"
"S11.NZ","Non financial corporations, New Zealand","Non financial corporations, New Zealand"
"S11.OM","Non financial corporations, Oman","Non financial corporations, Oman"
"S11.PA","Non financial corporations, Panama","Non financial corporations, Panama"
"S11.PE","Non financial corporations, Peru","Non financial corporations, Peru"
"S11.PG","Non financial corporations, Papua New Guinea","Non financial corporations, Papua New Guinea"
"S11.PH","Non financial corporations, Philippines (the)","Non financial corporations, Philippines (the)"
"S11.PL","Non financial corporations, Poland","Non financial corporations, Poland"
"S11.PT","Non financial corporations, Portugal","Non financial corporations, Portugal"
"S11.QA","Non financial corporations, Qatar","Non financial corporations, Qatar"
"S11.RO","Non financial corporations, Romania","Non financial corporations, Romania"
"S11.RS","Non financial corporations, Serbia","Non financial corporations, Serbia"
"S11.RU","Non financial corporations, Russian Federation (the)","Non financial corporations, Russian Federation (the)"
"S11.SA","Non financial corporations, Saudi Arabia","Non financial corporations, Saudi Arabia"
"S11.SC","Non financial corporations, Seychelles","Non financial corporations, Seychelles"
"S11.SD","Non financial corporations, Sudan (the)","Non financial corporations, Sudan (the)"
"S11.SE","Non financial corporations, Sweden","Non financial corporations, Sweden"
"S11.SG","Non financial corporations, Singapore","Non financial corporations, Singapore"
"S11.SH","Non financial corporations, Saint Helena, Ascension and Tristan da Cunha","Non financial corporations, Saint Helena, Ascension and Tristan da Cunha"
"S11.SI","Non financial corporations, Slovenia","Non financial corporations, Slovenia"
"S11.SK","Non financial corporations, Slovakia","Non financial corporations, Slovakia"
"S11.TH","Non financial corporations, Thailand","Non financial corporations, Thailand"
"S11.TR","Non financial corporations, Turkey","Non financial corporations, Turkey"
"S11.TW","Non financial corporations, Taiwan (Province of China)","Non financial corporations, Taiwan (Province of China)"
"S11.TZ","Non financial corporations, Tanzania, United Republic of","Non financial corporations, Tanzania, United Republic of"
"S11.UA","Non financial corporations, Ukraine","Non financial corporations, Ukraine"
"S11.US","Non financial corporations, United States of America (the)","Non financial corporations, United States excluding American Samoa (AS), Guam (GU), Northern Mariana Islands (MP), Puerto Rico (PR), United States Minor Outlying Islands (UM), Virgin Islands, U.S. (VI)"
"S11.VA","Non financial corporations, Holy See (the)","Non financial corporations, Holy See (the)"
"S11.VE","Non financial corporations, Venezuela (Bolivarian Republic of)","Non financial corporations, Venezuela (Bolivarian Republic of)"
"S11.VG","Non financial corporations, Virgin Islands (British)","Non financial corporations, Virgin Islands (British)"
"S11.ZA","Non financial corporations, South Africa","Non financial corporations, South Africa"
"S11.ZM","Non financial corporations, Zambia","Non financial corporations, Zambia"
"S121.AE","Central bank, United Arab Emirates (the)","Central bank, United Arab Emirates (the)"
"S121.AF","Central bank, Afghanistan","Central bank, Afghanistan"
"S121.AL","Central bank, Albania","Central bank, Albania"
"S121.AO","Central bank, Angola","Central bank, Angola"
"S121.AR","Central bank, Argentina","Central bank, Argentina"
"S121.AT","Central bank, Austria","Central bank, Austria"
"S121.AU","Central bank, Australia","Central bank, Australia"
"S121.BE","Central bank, Belgium","Central bank, Belgium"
"S121.BG","Central bank, Bulgaria","Central bank, Bulgaria"
"S121.BH","Central bank, Bahrain","Central bank, Bahrain"
"S121.BJ","Central bank, Benin","Central bank, Benin"
"S121.BM","Central bank, Bermuda","Central bank, Bermuda"
"S121.BR","Central bank, Brazil","Central bank, Brazil"
