"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"E1","Interest paid","Interest paid"
"E2","Rents paid","Rents paid"
"E3","Financial fees/services paid by the fund (mostly for buying and selling financial assets)","Financial fees/services paid by the fund (mostly for buying and selling financial assets)"
"E4","Management fees","Management fees"
"E5","Depository fees","Depository fees"
"E6","Taxes paid (but not those of behalf of shareholders)","Taxes paid (but not those of behalf of shareholders)"
"E7","wages","wages"
"E8","bad debt expense","bad debt expense"
"E9","bad loan expense","bad loan expense"
"E10","Other fees and charges paid","Other fees and charges paid"
