"ID","NAME","DESCRIPTION","IID"
".","Reset","Reset value",0
"S11","Μη χρηματοοικονομικές εταιρείες","
Περιλαμβάνεςι τις θεσμικές μονάδες που είναι ανεξάρτητες νομικές οντότητες και
παραγωγοί εμπορεύσιμου προϊόντος, και των οποίων η κύρια δραστηριότητα
συνίσταται στην παραγωγή αγαθών και μη χρηματοοικονομικών υπηρεσιών (ΕΣΛ 2010,
παράγραφοι 2.45 έως 2.50).
            ",1
"S121","Κεντρική Τράπεζα","
Περιλαμβάνει όλες τις χρηματοοικονομικές εταιρείες και οιονεί εταιρείες, κύρια
λειτουργία των οποίων είναι η έκδοση νομίσματος, η διατήρηση της εσωτερικής και
εξωτερικής αξίας του νομίσματος και η τήρηση του συνόλου ή μέρους των διεθνών
(συναλλαγματικών) αποθεμάτων της χώρας
            ",2
"S122","Εταιρείες ποου δέχονται καταθέσεις, εκτός από τις κεντρικές τράπεζες","
Περιλαμβάνει οποιεσδήποτε από τις ακόλουθες οντότητες:
α) πιστωτικά ιδρύματα που ασκούν δραστηριότητα κατά τις αναφορές του άρθρου 4 παράγραφος 1 σημείο 1) στοιχείο α)
του κανονισμού (ΕΕ) αριθ. 575/2013,
β) χρηματοπιστωτικά ιδρύματα εκτός εκείνων του ως άνω στοιχείου α), τα οποία δραστηριοποιούνται κατά κύριο λόγο στη
χρηματοοικονομική διαμεσολάβηση κατά τις αναφορές της παραγράφου 2.56 του παραρτήματος A του κανονισμού (ΕΕ)
αριθ. 549/2013 του Ευρωπαϊκού Κοινοβουλίου και του Συμβουλίου (11) και των οποίων η δραστηριότητα συνίσταται
στην αποδοχή καταθέσεων ή/και συγγενών υποκατάστατων καταθέσεων κατά τις αναφορές του πρώτου μέρους του
παραρτήματος I από θεσμικές μονάδες, περιλαμβανομένων των πιστωτικών ιδρυμάτων που δεν αποτελούν ΝΧΙ, και στη
χορήγηση δανείων ή/και πραγματοποίηση επενδύσεων σε τίτλους για ίδιο λογαριασμό•
γ) ιδρύματα ηλεκτρονικού χρήματος που δραστηριοποιούνται κατά κύριο λόγο στη χρηματοοικονομική διαμεσολάβηση
κατά τις αναφορές του ως άνω στοιχείου β) υπό τη μορφή της έκδοσης ηλεκτρονικού χρήματος.
            ",3
"S123","Αμοιβαία κεφάλαια χρηματαγοράς","
Περιλαμβάνει τους οργανισμούς συλλογικών επενδύσεων οι οποίοι έχουν
αδειοδοτηθεί κατά το άρθρο 4 του κανονισμού (ΕΕ) 2017/1131 και εκδίδουν μετοχές
ή μερίδια που συνιστούν συγγενή υποκατάστατα καταθέσεων κατά τις αναφορές του
πρώτου μέρους του παραρτήματος I του κανονισμού (EE) 2021/379 (EKT/2021/2).
            ",4
"S124","Επενδυτικοί οργανισμοί","
Περιλαμβάνει τους επενδυτικούς οργανισμούς, όπως ορίζονται στο άρθρο 2 του ΕΕ 2024/17.
            ",5
"S125","Λοιποί ενδιάμεσοι χρηματοοικονομικοί οργανισμοί, εκτός από τις ασφαλιστικές εταιρείες και τα συνταξιοδοτικά ταμεία","
Περιλαμβάνει όλες τις χρηματοοικονομικές εταιρείες οι οποίες έχουν ως
κύρια δραστηριότητα τη χρηματοοικονομική διαμεσολάβηση μέσω της σύναψης
υποχρεώσεων υπό μορφή διαφορετική από το νόμισμα, τις καταθέσεις (ή
παραπλήσια υποκατάστατα καταθέσεων), ή τις μετοχές ΕΟ (ΕΣΛ 2010,
παράγραφοι 2.86 έως 2.94).
            ",6
"S126","Επικουρικοί χρηματοοικονομικοί οργανισμοί και φορείς","
Περιλαμβάνει όλες τις χρηματοοικονομικές εταιρείες οι οποίες
ασχολούνται κατά κύριο λόγο με δραστηριότητες που συνδέονται στενά με
τη χρηματοοικονομική διαμεσολάβηση, χωρίς όμως να είναι ενδιάμεσοι
χρηματοοικονομικοί οργανισμοί. Ο παρών υποτομέας περιλαμβάνει επίσης τα
κεντρικά γραφεία των οποίων όλες οι θυγατρικές ή οι περισσότερες
απ’ αυτές είναι χρηματοοικονομικές εταιρείες (ΕΣΛ 2010, παράγραφοι 2.95
έως 2.97).
            ",7
"S127","Θυγατρικοί χρηματοοικονομικοί οργανισμοί και δανειστές χρημάτων","
Περιλαμβάνει το σύνολο των χρηματοοικονομικών εταιρειών που
δεν ασχολούνται με τη χρηματοοικονομική διαμεσολάβηση ούτε με την
παροχή επικουρικών χρηματοοικονομικών υπηρεσιών και των οποίων το
μεγαλύτερο μέρος είτε των στοιχείων του ενεργητικού ή του παθητικού δεν
αποτελεί αντικείμενο συναλλαγής στις ανοιχτές αγορές. Ο παρών υποτομέας
περιλαμβάνει εταιρείες χαρτοφυλακίου που έχουν στην κυριότητά τους πάνω
από το 50 % του μετοχικού κεφαλαίου μιας ομάδας θυγατρικών εταιρειών
και των οποίων η βασική δραστηριότητα έγκειται στο να έχουν την ομάδα
στην κυριότητά τους, χωρίς να παρέχουν οιαδήποτε άλλη υπηρεσία στις
επιχειρήσεις στις οποίες ανήκει το μετοχικό κεφάλαιο, δηλαδή ούτε
διοικούν ούτε διαχειρίζονται άλλες μονάδες (ΕΣΛ 2010, παράγραφοι 2.98
έως 2.99).
            ",8
"S128","Ασφαλιστικές εταιρείες","
Περιλαμβάνει όλες τις
χρηματοοικονομικές εταιρείες που ασχολούνται κατά κύριο λόγο με τη
χρηματοοικονομική διαμεσολάβηση ως συνέπεια της συγκέντρωσης των
κινδύνων κυρίως υπό τη μορφή της άμεσης ασφάλισης ή της αντασφάλισης
(ΕΣΛ 2010, παράγραφοι 2.100 έως 2.104).
            ",9
"S129","Συνταξιοδοτικά ταμεία","
Περιλαμβάνει όλες τις
χρηματοοικονομικές εταιρείες που ασχολούνται κατά κύριο λόγο με τη
χρηματοοικονομική διαμεσολάβηση ως συνέπεια της συγκέντρωσης των
κινδύνων και των αναγκών των ασφαλισμένων (κοινωνική ασφάλιση). Τα
συνταξιοδοτικά ταμεία ως συστήματα κοινωνικής ασφάλισης παρέχουν
εισόδημα κατά τη συνταξιοδότηση και, πολλές φορές, επιδόματα θανάτου
και αναπηρίας (ΕΣΛ 2010, παράγραφοι 2.105 έως 2.110).
            ",10
"S1311","Κεντρική κυβέρνηση","
Περιλαμβάνει όλες τις διοικητικές υπηρεσίες του κράτους και τους λοιπούς
κεντρικούς φορείς, η αρμοδιότητα των οποίων εκτείνεται κατά κανόνα σε όλη την
οικονομική επικράτεια, εκτός από τη διοίκηση των οργανισμών κοινωνικής
ασφάλισης (ΕΣΛ 2010, παράγραφος 2.114). Για τους σκοπούς του παρόντος
κανονισμού, η κεντρική κυβέρνηση περιλαμβάνει επίσης όργανα και οργανισμούς της
Ένωσης που ταξινομούνται στον τομέα της γενικής κυβέρνησης. Ο υποτομέας
συνταξιοδοτικά ταμεία περιλαμβάνει όλες τις
            ",11
"S1312","κυβέρνηση ομόσπονδου κράτους","
Ο υποτομέας αυτός περιλαμβάνει εκείνες τις μορφές της δημόσιας διοίκησης που
αποτελούν χωριστές θεσμικές μονάδες και που ασκούν ορισμένες από τις
κυβερνητικές λει­ τουργίες, εκτός από τη διοίκηση οργανισμών κοινωνικής
ασφάλισης, σε επίπεδο κατώτερο από το επίπεδο της κεντρικής κυβέρνησης και
ανώτερο από το επίπεδο των κρατικών θεσμικών μονάδων που υπάρχουν σε τοπικό
επίπεδο (ΕΣΛ 2010, παράγραφος 2.115)
            ",12
"S1313","Τοπική αυτοδιοίκηση","
Περιλαμβάνει εκείνες τις μορφές της δημόσιας διοίκησης που
αποτελούν χωριστές θεσμικές μονάδες και που ασκούν ορισμένες από τις
κυβερνητικές λει­ τουργίες, εκτός από τη διοίκηση οργανισμών κοινωνικής
ασφάλισης, σε επίπεδο κατώτερο από το επίπεδο της κεντρικής κυβέρνησης και
ανώτερο από το επίπεδο των κρατικών θεσμικών μονάδων που υπάρχουν σε τοπικό
επίπεδο (ΕΣΛ 2010, παράγραφος 2.115)
            ",13
