"ID","NAME","DESCRIPTION","IID"
".","Reset","Reset value",0
"DOM","Domestic","
            Predominantly domestic investments.
            ",1
"EEA","Europe (EEA)","
            Predominantly investments in Europe (EEA) region as defined in Guideline ESMA/2014/869EN.
            ",2
"OEA","Europe (other than EEA)","
            Predominantly investments in Europe (other than EEA) region as defined in Guideline ESMA/2014/869EN.
            ",3
"NAM","North America","
            Predominantly investments in North America region as defined in Guideline ESMA/2014/869EN.
            ",4
"SAM","South America","
            Predominantly investments in South America region as defined in Guideline ESMA/2014/869EN.
            ",5
"ASP","Asia / Pacific","
            Predominantly investments in Asia/Pacific region as defined in Guideline ESMA/2014/869EN.
            ",6
"MEA","Middle East","
            Predominantly investments in Middle East region as defined in Guideline ESMA/2014/869EN.
            ",7
"AFR","Africa","
            Predominantly investments in Africa region as defined in Guideline ESMA/2014/869EN.
            Defined in Guideline ESMA/2014/869EN
            ",8
"OTH","Other","
            Predominantly investments in assets issued by supranational entities or
            it does not predominantly invest in any single geographical region
            defined above.
            ",9
