"ID","NAME","DESCRIPTION","IID"
".","Reset","Reset value",0
"3579","3579","SSY FUTURES LTD -  FREIGHT SCREEN",1
"24EX","24EX","24 EXCHANGE",2
"360T","360T","360T",3
"4AXE","4AXE","4 AFRICA EXCHANGE (PTY) LTD",4
"A2XX","A2XX","A2X",5
"AACA","AACA","CREDIT AGRICOLE CIB - SYSTEMATIC INTERNALISER",6
"AAPA","AAPA","ATHENS EXCHANGE - APA",7
"AATS","AATS","ASSENT ATS",8
"ABAN","ABAN","ABANCA",9
"ABFI","ABFI","ALPHA BANK - SYSTEMATIC INTERNALISER",10
"ABNA","ABNA","ABN AMRO BANK NV - SYSTEMATIC INTERNALISER",11
"ABNC","ABNC","ABN AMRO CLEARING BANK - SYSTEMATIC INTERNALISER",12
"ABSI","ABSI","ALM. BRAND BANK - SYSTEMATIC INTERNALISER",13
"ABUL","ABUL","BULGARIAN STOCK EXCHANGE - ALTERNATIVE MARKET",14
"ABXX","ABXX","YOSHI MARKETS LIMITED",15
"ACEX","ACEX","ACE DERIVATIVES & COMMODITY EXCHANGE LTD",16
"ACKF","ACKF","KCG ACKNOWLEDGE FI",17
"ADVT","ADVT","ADVISE TECHNOLOGIES - APA TRANSPARENCY REPORTING",18
"AFDL","AFDL","ABIDE FINANCIAL DRSP LIMITED APA",19
"AFET","AFET","AGRICULTURAL FUTURES EXCHANGE OF THAILAND",20
"AFEX","AFEX","AFRINEX LIMITED",21
"AFSA","AFSA","AFS - OTF",22
"AFSE","AFSE","AFS E-VENUES B.V.",23
"AFSI","AFSI","AFS - OTF - INTEREST RATE DERIVATIVES",24
"AFSL","AFSL","AFS - OTF - STRUCTURED PRODUCTS",25
"AFSO","AFSO","AFS - OTF - BONDS",26
"AFSX","AFSX","AFS - OTF - FX FORWARDS",27
"AGBP","AGBP","A AND G BANCA PRIVADA SAU",28
"AILT","AILT","ARRACO IRELAND LTD",29
"AIMX","AIMX","LONDON STOCK EXCHANGE - AIM MTF",30
"AIXE","AIXE","AIXECUTE",31
"AIXK","AIXK","ASTANA INTERNATIONAL EXCHANGE LTD",32
"AKIS","AKIS","AKIS - BANCA AKROS - SYSTEMATIC INTERNALISER",33
"ALDP","ALDP","NYSE ALTERNEXT DARK",34
"ALLT","ALLT","ALLT - OTF",35
"ALSI","ALSI","AKTIESELSKABET ARBEJDERNES LANDSBANK - SYSTEMATIC INTERNALISER",36
"ALTX","ALTX","JSE ALTERNATE EXCHANGE",37
"ALXA","ALXA","EURONEXT - ALTERNEXT AMSTERDAM",38
"ALXB","ALXB","EURONEXT GROWTH BRUSSELS",39
"ALXL","ALXL","EURONEXT GROWTH LISBON",40
"ALXP","ALXP","EURONEXT GROWTH PARIS",41
"AMLG","AMLG","AMERICAN LEDGER ATS",42
"AMNL","AMNL","AMMAN STOCK EXCHANGE - NON-LISTED SECURITIES MARKET",43
"AMPX","AMPX","ASSET MATCH PRIVATE EXCHANGE",44
"AMTS","AMTS","MTS NETHERLANDS",45
"AMXO","AMXO","NYSE AMEX OPTIONS",46
"ANLP","ANLP","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",47
"ANTS","ANTS","ABBEY NATIONAL TREASURY SERVICES PLC - SYSTEMATIC INTERNALISER",48
"ANZL","ANZL","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED SYSTEMATIC INTERNALISER",49
"APAW","APAW","WIENER BOERSE AG - APA",50
"APCL","APCL","ASIA PACIFIC CLEAR",51
"APEX","APEX","ASIA PACIFIC EXCHANGE",52
"APXL","APXL","SYDNEY STOCK EXCHANGE LIMITED",53
"AQEA","AQEA","AQUIS EXCHANGE EUROPE AUCTION ON DEMAND (AOD)",54
"AQED","AQED","AQUIS EXCHANGE EUROPE NON DISPLAY ORDER BOOK (NDOB)",55
"AQEU","AQEU","AQUIS EXCHANGE EUROPE",56
"AQSD","AQSD","AQSE MAIN MARKET (NON-EQUITY)",57
"AQSE","AQSE","AQUIS STOCK EXCHANGE",58
"AQSF","AQSF","AQSE GROWTH MARKET (NON-EQUITY)",59
"AQSG","AQSG","AQSE GROWTH MARKET (EQUITY)",60
"AQSL","AQSL","AQSE MAIN MARKET (EQUITY)",61
"AQSN","AQSN","AQSE TRADING (NON-EQUITY)",62
"AQST","AQST","AQSE TRADING (EQUITY)",63
"AQUA","AQUA","AQUA EQUITIES L.P.",64
"AQXA","AQXA","AQUIS EXCHANGE PLC AUCTION ON DEMAND (AOD)",65
"AQXD","AQXD","AQUIS EXCHANGE PLC AMP NON DISPLAY ORDER BOOK",66
