"ID","NAME","DESCRIPTION","IID"
".","Reset","Reset value",0
"AI_LN","Πληρωτέοι δεδουλευμένοι τόκοι δανείων","Πληρωτέοι δεδουλευμένοι τόκοι δανείων",1
"AI_DBT","Πληρωτέοι δεδουλευμένοι τόκοι εκδοθέντων χρεογράφων","Πληρωτέοι δεδουλευμένοι τόκοι εκδοθέντων χρεογράφων",2
"AR","Πληρωτέα ενοίκια","Πληρωτέα ενοίκια",3
"NO_RIGHTS","Τίτλους έκδοσης ΕΟ, πλην των συμμετοχικών τίτλων, οι οποίοι είναι συνήθως μέσα διαπραγματεύσιμα και αποτελούν αντικείμενο συναλλαγών στις δευτερογενείς αγορές ή μπορούν να συμψηφιστούν στην αγορά και δεν παρέχουν στον κάτοχο δικαιώματα ιδιοκτησίας επί του ιδρύματος έκδοσης","Τίτλους έκδοσης ΕΟ, πλην των συμμετοχικών τίτλων, οι οποίοι είναι συνήθως μέσα διαπραγματεύσιμα και αποτελούν αντικείμενο συναλλαγών στις δευτερογενείς αγορές ή μπορούν να συμψηφιστούν στην αγορά και δεν παρέχουν στον κάτοχο δικαιώματα ιδιοκτησίας επί του ιδρύματος έκδοσης",4
"NOT_MAIN","Πληρωτέα ποσά που δεν σχετίζονται με την κύρια δραστηριότητα του ΕΟ, δηλαδή ποσά οφειλόμενα σε προμηθευτές, φόρου, μισθούς, ασφαλιστικές εισφορές κ.λπ.","Πληρωτέα ποσά που δεν σχετίζονται με την κύρια δραστηριότητα του ΕΟ, δηλαδή ποσά οφειλόμενα σε προμηθευτές, φόρου, μισθούς, ασφαλιστικές εισφορές κ.λπ.",5
"PRVSNS","Προβλέψεις που αντιπροσωπεύον υποχρεώσεις έναντι τρίτων, δηλαδή συντάξεις, μερίσματα κ.λπ.","Προβλέψεις που αντιπροσωπεύον υποχρεώσεις έναντι τρίτων, δηλαδή συντάξεις, μερίσματα κ.λπ.",6
"NO_CASH_SL","καθαρές θέσεις που προκύπτουν από τον δανεισμό τίτλων χωρίς κατάθεση μετρητών","καθαρές θέσεις που προκύπτουν από τον δανεισμό τίτλων χωρίς κατάθεση μετρητών",7
"FUTURE","Καθαρά ποσά πληρωτέα σε σχέση με μελλοντικούς διακανονισμούς συναλλαγών επί τίτλων","Καθαρά ποσά πληρωτέα σε σχέση με μελλοντικούς διακανονισμούς συναλλαγών επί τίτλων",8
"OTHER","Άλλες λοιπές υποχρέωσεις","Άλλες λοιπές υποχρέωσεις",9
